Model,Status,Parameters,PSNR,SSIM,SAM_deg,ERGAS,L1
Bicubic,completed,0.0,18.686788,0.597968,2.641134,4.798183,0.082537
Fusion CNN,completed,,25.076169,0.918587,1.901161,2.263466,0.035308
WV3-Transfer HAT,completed,21087156.0,25.357446,0.921004,1.910739,2.186403,0.034208
Simple Average,completed,,25.290925,0.921002,1.884289,2.206611,0.034356
OOF Adaptive Gate,completed,,25.320393,0.921188,1.882682,2.198633,0.034252
Correlation-Aware Gate,completed,,25.30483,0.921061,1.883066,2.202809,0.034304
PanTiny small,completed_primary_latest,53034.0,25.658881,0.977777,1.895847,2.103428,0.033077
